ticker,name,current_price,market_cap,intrinsic_value_graham,margin_of_safety,eps_ttm,earnings_growth_5y,altman_z_score,sector,industry,country,currency,day_low,day_high,52_week_low,52_week_high,price_to_52w_low,enterprise_value,shares_outstanding,pe_ratio,pb_ratio,ps_ratio,free_cash_flow,fcf_per_share,price_to_fcf,total_cash,total_cash_per_share,total_debt,dcf_present_value,dcf_diluted_value,ev_to_ebitda,ev_ebitda_ratio,rsi_14,beta,short_ratio,short_percent_float,held_percent_insiders,held_percent_institutions,recommendation,dividend_yield,payout_ratio
AAPL,Apple Inc.,273.68,4022528114688,292.85,1.07,7.91,18.3,10.72,Technology,Consumer Electronics,United States,USD,272.94,275.36,169.21,288.62,1.62,4055336747008,14681140000,34.59924,45.62854,9.234094,106312753152,7.24,37.79,66907000832,4.557,90509000704,52.08,,26.522,,63.97,1.107,2.61,0.0077,0.01702,0.65093005,buy,0.38,0.1304
MSFT,Microsoft Corporation,413.27,3071578734592,1678.3,4.06,15.96,59.8,8.45,Technology,Software - Infrastructure,United States,USD,412.7,423.68,344.79,555.45,1.2,3105056096256,7425629076,25.89411,7.854604,10.055815,53640626176,7.22,57.21,89461997568,12.048,123278000128,183.53,,17.717,,39.28,1.084,2.43,0.0074,0.00066,0.76098996,strong_buy,0.88,0.21280001
GOOGL,Alphabet Inc.,318.58,3853862305792,626.8,1.97,10.8,31.1,15.38,Communication Services,Internet Content & Information,United States,USD,314.61,321.67,140.53,349.0,2.27,3863452057600,5822000000,29.498146,9.273716,9.566827,38088376320,6.54,48.7,126843002880,10.485,66995998720,305.01,,25.726,,65.3,1.086,2.91,0.014400001,0.00567,0.8135,strong_buy,0.26,0.076799996
AMZN,"Amazon.com, Inc.",206.96,2221699235840,109.04,0.53,7.18,5.0,5.0,Consumer Cyclical,Internet Retail,United States,USD,206.411,212.6499,161.38,258.6,1.28,2296110645248,10734920870,28.824514,5.402809,3.0989327,23793125376,2.22,93.38,123028996096,11.461,178546999296,,,15.756,,35.48,1.385,2.02,0.0081,0.091400005,0.66615,strong_buy,,0.0
TSLA,"Tesla, Inc.",425.21,1595571568640,-100.84,-0.24,1.09,-60.6,18.97,Consumer Cyclical,Auto Manufacturers,United States,USD,417.0,427.25,214.25,498.83,1.98,1537352925184,3752431984,390.1009,19.418642,16.82613,3732624896,0.99,427.47,44059000832,11.741,14718999552,9.38,,146.373,,45.19,1.887,0.89,0.019299999,0.11134,0.44573003,buy,,0.0
META,"Meta Platforms, Inc.",670.72,1696623362048,576.8,0.86,23.5,10.7,8.86,Communication Services,Internet Content & Information,United States,USD,669.79,680.65,479.8,796.25,1.4,1716554563584,2187177748,28.541275,7.8111496,8.442341,23432374272,10.71,62.61,81592000512,32.255,85080997888,,,16.847,,58.55,1.284,2.29,0.0149,0.00063,0.79521006,strong_buy,0.31,0.08939999
NVDA,NVIDIA Corporation,188.54,4590383136768,471.76,2.5,4.05,66.7,90.52,Technology,Semiconductors,United States,USD,188.12,192.48,86.62,212.19,2.18,4568185831424,24305000000,46.55308,38.54047,24.528877,53282873344,2.19,86.0,60608000000,2.494,10821999616,,,40.535,,38.54,2.314,1.64,0.0112,0.0433,0.69585997,strong_buy,0.02,0.0099
JPM,JP Morgan Chase & Co.,318.28,866441625600,18.09,0.06,20.03,-3.6999999999999997,,Financial Services,Banks - Diversified,United States,USD,315.1201,326.125,202.16,337.25,1.57,422512033792,2696200000,15.890164,2.5063193,5.150186,0,,,1482637049856,549.899,1016658001920,,,,,42.99,1.053,1.87,0.0075,0.00378,0.74174005,buy,1.86,0.2897
V,Visa Inc.,328.17,632724783104,378.55,1.15,10.65,17.4,7.62,Financial Services,Credit Services,United States,USD,324.551,329.88,299.0,375.51,1.1,625973526528,1681093942,30.814087,16.380653,15.28653,22032250880,13.11,25.04,16396999680,8.602,21176999936,241.11,,21.595,,38.82,0.78,3.05,0.013200001,0.0057800002,0.91176003,strong_buy,0.82,0.2291
WMT,Walmart Inc.,126.7,1010160238592,185.24,1.46,2.86,35.199999999999996,7.14,Consumer Defensive,Discount Stores,United States,USD,126.43,129.34,79.81,131.79,1.59,1092570972160,7970166964,44.3007,10.511033,1.4368032,10372750336,1.3,97.35,10581999616,1.328,68423999488,42.17,,25.579,,70.7,0.671,2.92,0.0082,0.45112,0.38312,strong_buy,0.73,0.3191
